Index	Moves	MoveID	CanUseMove	FType	FQuality	FCategory	FPower	FAccuracy	FPP	FPriority	FHitMin	FHitMax	FInflict	FInflictPercent	FRawInflictCount	FTurnMin	FTurnMax	FCritStage	FFlinch	FEffectSequence	FRecoil	FRawHealing	FRawTarget	FStat1	FStat2	FStat3	FStat1Stage	FStat2Stage	FStat3Stage	FStat1Percent	FStat2Percent	FStat3Percent	FStat1Duration	FStat2Duration	FStat3Duration	GigantamaxPower	Flag_MakesContact	Flag_Charge	Flag_Recharge	Flag_Protect	Flag_Reflectable	Flag_Snatch	Flag_Mirror	Flag_Punch	Flag_Sound	Flag_Gravity	Flag_Defrost	Flag_DistanceTriple	Flag_Heal	Flag_IgnoreSubstitute	Flag_FailSkyBattle	Flag_AnimateAlly	Flag_Dance	Flag_Metronome	SplinterModifier	Status_Fixated	Status_Obscured	Status_ObscuredDuration	Status_Primed	Status_PrimedDuration	Status_PrimedPercent	Status_StanceSwap	Status_StanceSwapDuration	Status_FutureCrit	Status_FutureCritDuration	Status_FutureCritStage	Flag_CureDrowsy	Flag_CureFrostbite	DamagePercentStatused	CanStyle	ActSpeedModUser	ActSpeedModUserAgile	ActSpeedModUserStrong	ActSpeedModTarget	ActSpeedModTargetAgile	AgilePower	AgileRawHealing	AgileTurnMax	AgileEffectDuration	AgileStatChangeDuration	StrongPower	StrongAccuracy	StrongCritStage	StrongInflictPercent	StrongStat1Percent	StrongTurnMax	StrongEffectDuration	StrongStatChangeDuration	StrongRecoil	StrongRawHealing	StrongSplinterModifier	Type	Quality	Category	Power	Accuracy	PP	Priority	HitMin	HitMax	Inflict	InflictPercent	TurnMin	TurnMax	CritStage	Flinch	EffectSequence	Recoil	Stat1	Stat2	Stat3	Stat1Stage	Stat2Stage	Stat3Stage	Stat1Percent	Stat2Percent	Stat3Percent	InflictCount	Healing	Target
10	Scratch	10	False	0	0	1	40	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
11	Vise Grip	11	False	0	0	1	55	100	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	55	100	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
12	Guillotine	12	False	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
13	Razor Wind	13	False	0	0	2	80	100	10	0	0	0	0	0	0	0	0	1	0	39	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	130	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	80	100	10	0	0	0	0	0	0	0	1	0	39	0	0	0	0	0	0	0	0	0	0	None	None	AllAdjacentOpponents
14	Swords Dance	14	True	0	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	50	0	0	7	1	0	0	1	0	0	0	0	0	5	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	1	-3	-4	5	0	0	0	0	0	0	4	0	101	0	0	0	0	0	7	0	0	0	0	2	0	0	101	20	0	0	0	0	0	0	0	0	0	50	0	1	0	0	1	0	0	0	0	0	None	None	Self
15	Cut	15	False	0	0	1	50	95	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	95	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
16	Gust	16	True	2	0	2	40	100	25	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	1	0	0	5	0	3	30	0	0	0	0	50	100	0	0	0	0	0	0	0	0	0	2	0	2	40	100	25	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
17	Wing Attack	17	False	2	0	1	60	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	60	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
18	Whirlwind	18	False	0	12	0	0	101	20	-6	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	101	20	-6	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
19	Fly	19	False	2	0	1	90	95	15	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	True	False	True	False	False	True	False	False	True	False	True	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	90	95	15	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
20	Bind	20	False	0	4	1	15	85	20	0	0	0	10	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	15	85	20	0	0	0	10	100	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	TurnCountNoSwitch	None	AnyExceptSelf
21	Slam	21	False	0	0	1	80	75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	80	75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
22	Vine Whip	22	False	11	0	1	45	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	45	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
23	Stomp	23	False	0	0	1	65	100	20	0	0	0	0	0	0	0	0	0	30	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	65	100	20	0	0	0	0	0	0	0	0	30	150	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
24	Double Kick	24	False	1	0	1	30	100	30	0	2	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	30	100	30	0	2	2	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
25	Mega Kick	25	False	0	0	1	120	75	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	120	75	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
26	Jump Kick	26	False	1	0	1	100	95	10	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	100	95	10	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
27	Rolling Kick	27	False	1	0	1	60	85	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	60	85	15	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
28	Sand Attack	28	False	4	2	0	0	100	15	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	-1	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	100	15	0	0	0	0	0	0	0	0	0	23	0	6	0	0	-1	0	0	0	0	0	None	None	AnyExceptSelf
29	Headbutt	29	False	0	0	1	70	100	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	70	100	15	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
30	Horn Attack	30	False	0	0	1	65	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	65	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
31	Fury Attack	31	False	0	0	1	15	85	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	85	20	0	5	2	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
32	Horn Drill	32	False	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
33	Tackle	33	True	0	0	1	40	100	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	1	0	0	5	0	3	30	0	0	0	0	50	100	0	0	0	0	0	0	0	0	0	0	0	1	40	100	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
34	Body Slam	34	False	0	4	1	85	100	15	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	85	100	15	0	0	0	1	30	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	Permanent	None	AnyExceptSelf
35	Wrap	35	False	0	4	1	15	90	20	0	0	0	10	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	15	90	20	0	0	0	10	100	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	TurnCountNoSwitch	None	AnyExceptSelf
36	Take Down	36	False	0	0	1	90	85	20	0	0	0	0	0	0	0	0	0	0	48	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	90	85	20	0	0	0	0	0	0	0	0	0	48	231	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
37	Thrash	37	False	0	0	1	120	100	10	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	120	100	10	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	None	None	RandomOpponent
38	Double-Edge	38	True	0	0	1	100	100	5	0	0	0	0	0	0	0	0	0	0	198	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	1	0	0	5	0	3	80	0	0	0	0	120	100	0	0	0	0	0	0	-50	0	0	0	0	1	100	100	5	0	0	0	0	0	0	0	0	0	198	223	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
39	Tail Whip	39	False	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	0	19	0	0	5	2	0	0	-1	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	19	0	2	0	0	-1	0	0	0	0	0	None	None	AllAdjacentOpponents
40	Poison Sting	40	True	3	4	1	30	100	20	0	0	0	5	50	2	5	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	1	0	0	5	0	3	20	0	3	0	0	40	100	0	100	0	7	0	0	0	0	0	3	4	1	30	100	20	0	0	0	5	50	5	5	0	0	2	0	0	0	0	0	0	0	0	0	0	TurnCountSwitch	None	AnyExceptSelf
41	Twineedle	41	False	6	4	1	25	100	20	0	2	2	5	20	1	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	1	25	100	20	0	2	2	5	20	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	Permanent	None	AnyExceptSelf
42	Pin Missile	42	True	6	4	1	40	100	20	0	0	0	48	100	2	3	3	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	25	0	0	0	0	0	0	0	0	0	0	0	False	False	0	1	0	0	5	0	3	30	0	2	0	0	50	100	0	100	0	4	0	0	0	0	25	6	4	1	40	100	20	0	0	0	48	100	3	3	0	0	500	0	0	0	0	0	0	0	0	0	0	TurnCountSwitch	None	AnyExceptSelf
43	Leer	43	False	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	0	19	0	0	5	2	0	0	-1	0	0	100	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	19	0	2	0	0	-1	0	0	100	0	0	None	None	AllAdjacentOpponents
44	Bite	44	True	16	0	1	60	100	20	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	1	0	0	5	3	5	45	0	0	0	0	75	100	0	0	0	0	0	0	0	0	0	16	0	1	60	100	20	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
45	Growl	45	False	0	2	0	0	100	40	0	0	0	0	0	0	0	0	0	0	18	0	0	5	1	0	0	-1	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	True	False	False	False	False	True	False	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	100	40	0	0	0	0	0	0	0	0	0	18	0	1	0	0	-1	0	0	0	0	0	None	None	AllAdjacentOpponents
46	Roar	46	False	0	12	0	0	101	20	-6	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	True	False	True	False	False	False	False	True	False	True	False	True	0	0	0	0	0	0	0	0	0	0	0	0	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	101	20	-6	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	None	None	AnyExceptSelf
