valid_flag	id	monsno	form_index	form_max	color	gra_no	basic_hp	basic_atk	basic_def	basic_agi	basic_spatk	basic_spdef	type1	type2	get_rate	rank	exp_value	item1	item2	item3	sex	egg_birth	initial_friendship	egg_group1	egg_group2	grow	tokusei1	tokusei2	tokusei3	give_exp	height	weight	chihou_zukan_no	machine1	machine2	machine3	machine4	hiden_machine	egg_monsno	egg_formno	egg_formno_kawarazunoishi	egg_form_inherit_kawarazunoishi
1	10	10	0	1	3	10	45	30	35	45	20	20	6	6	255	1	1	0	0	0	127	15	50	3	3	0	19	19	50	39	30	29	0	0	0	0	0	0	10	0	0	0
1	11	11	0	1	3	11	50	20	55	30	25	25	6	6	120	2	32	0	0	0	127	15	50	3	3	0	61	61	61	72	70	99	0	0	0	0	0	0	10	0	0	0
1	12	12	0	1	8	12	60	45	50	70	90	80	6	2	45	3	1536	0	222	0	127	15	50	3	3	0	14	14	110	198	110	320	0	2955887616	571783808	55709736	1	0	10	0	0	0
1	13	13	0	1	5	13	40	35	30	50	20	20	6	3	255	1	64	0	0	0	127	15	50	3	3	0	19	19	50	39	30	32	0	0	0	0	0	0	13	0	0	0
1	14	14	0	1	2	14	45	25	50	35	25	25	6	3	120	2	32	0	0	0	127	15	50	3	3	0	61	61	61	72	60	100	0	0	0	0	0	0	13	0	0	0
1	15	15	0	1	2	15	65	90	40	75	45	80	6	3	45	3	1032	0	245	0	127	15	50	3	3	0	68	68	97	198	100	295	0	3223667712	35928712	323683370	3	0	13	0	0	0
1	16	16	0	1	5	16	40	45	40	56	35	35	0	2	255	1	64	0	0	0	127	15	50	4	4	3	51	77	145	50	30	18	0	2147681792	33847936	599916544	1	0	16	0	0	0
1	17	17	0	1	5	17	63	60	55	71	50	50	0	2	120	2	128	0	0	0	127	15	50	4	4	3	51	77	145	122	110	300	0	2147681792	33847936	599916544	1	0	16	0	0	0
1	18	18	0	1	5	18	83	80	75	101	70	70	0	2	45	3	192	0	0	0	127	15	50	4	4	3	51	77	145	240	150	395	0	2147698176	33847936	599916552	1	0	16	0	0	0
1	19	19	0	1	6	19	30	56	35	72	25	35	0	0	255	1	64	0	0	0	127	15	50	5	5	0	50	62	55	51	30	35	0	2848144896	50346506	316801280	2	0	19	0	0	0
1	20	20	0	1	5	20	55	81	60	97	50	70	0	0	127	2	128	0	0	0	127	15	50	5	5	0	50	62	55	145	70	185	0	2848161296	50346506	2464285960	2	0	19	0	0	0
1	21	21	0	1	5	21	40	60	30	70	31	31	0	2	255	1	64	0	244	0	127	15	50	4	4	0	51	51	97	52	30	20	0	2147681792	35945088	599916544	1	0	21	0	0	0
1	22	22	0	1	5	22	65	90	65	100	61	61	0	2	90	2	128	0	244	0	127	15	50	4	4	0	51	51	97	155	120	380	0	2147698176	35945088	599916552	1	0	21	0	0	0
1	23	23	0	1	6	23	35	60	44	55	40	54	3	3	255	1	4	0	0	0	127	20	50	5	14	0	22	61	127	58	200	69	0	2319909888	33569608	2186199042	0	0	23	0	0	0
1	24	24	0	1	6	24	60	95	69	80	65	79	3	3	90	2	8	0	0	0	127	20	50	5	14	0	22	61	127	157	350	650	0	2319926272	33569608	2186199050	0	0	23	0	0	0
1	25	25	0	1	2	25	35	55	40	90	50	50	12	12	190	2	128	0	236	0	127	10	50	5	6	0	9	9	31	112	40	60	104	3385032705	1132477955	3261202720	2	0	172	0	0	0
1	26	26	0	1	2	26	60	90	55	110	90	80	12	12	75	3	192	0	0	0	127	10	50	5	6	0	9	9	31	243	80	300	105	3385573377	1133002243	3261202728	2	0	172	0	0	0
1	27	27	0	1	2	27	50	75	85	40	20	30	4	4	255	1	16	0	286	0	127	20	50	5	5	0	8	8	146	60	60	120	0	3393783297	41958096	2454687233	10	0	27	0	0	0
1	28	28	0	1	2	28	75	100	110	65	45	55	4	4	90	2	32	0	286	0	127	20	50	5	5	0	8	8	146	158	100	295	0	3393799681	42482384	2454687305	10	0	27	0	0	0
1	29	29	0	1	1	29	55	47	52	41	40	40	3	3	235	1	1	0	0	0	254	20	50	1	5	3	38	79	55	55	40	70	0	2311271460	33569418	2454323201	2	0	29	0	0	0
1	30	30	0	1	1	30	70	62	67	56	55	55	3	3	120	2	2	0	0	0	254	20	50	15	15	3	38	79	55	128	80	200	0	2311271460	33569418	2454323201	2	0	29	0	0	0
1	31	31	0	1	1	31	90	92	87	76	75	85	3	4	45	3	3	0	0	0	254	20	50	15	15	3	38	79	125	253	130	600	0	3955457077	109591550	3528362185	10	0	29	0	0	0
1	32	32	0	1	6	32	46	57	40	50	40	40	3	3	235	1	4	0	0	0	0	20	50	1	5	3	38	79	55	55	50	90	0	2311271460	33569290	2454323201	2	0	32	0	0	0
1	33	33	0	1	6	33	61	72	57	65	55	55	3	3	120	2	8	0	0	0	0	20	50	1	5	3	38	79	55	128	90	195	0	2311271460	33569290	2454323201	2	0	32	0	0	0
1	34	34	0	1	6	34	81	102	77	85	85	75	3	4	45	3	12	0	0	0	0	20	50	1	5	3	38	79	125	253	140	620	0	3955457077	109591422	3528362185	10	0	32	0	0	0
1	35	35	0	1	9	35	70	45	48	35	60	65	17	17	150	2	2	0	81	0	191	10	140	6	6	4	56	98	132	113	60	75	100	4194022925	192944679	2188515620	2	0	173	0	0	0
1	36	36	0	1	9	36	95	70	73	60	95	90	17	17	25	3	3	0	81	0	191	10	140	6	6	4	56	98	109	242	130	400	101	4194039309	193468967	2188515628	2	0	173	0	0	0
1	37	37	0	1	5	37	38	41	40	65	50	65	9	9	190	1	64	0	249	0	191	20	50	5	5	0	18	18	70	60	60	99	0	2286486544	303176228	37900290	0	0	37	0	0	0
1	38	38	0	1	2	38	73	76	75	100	81	100	9	9	75	2	1088	0	249	0	191	20	50	5	5	0	18	18	70	177	110	199	0	2825471000	1376918052	38948874	0	0	37	0	0	0
1	39	39	0	1	9	39	115	45	20	20	45	25	0	17	170	2	2	0	81	0	191	10	50	6	6	4	56	172	132	95	50	55	0	4189828613	192944679	2188516132	0	0	174	0	0	0
1	40	40	0	1	9	40	140	70	45	45	85	50	0	17	50	3	3	0	81	0	191	10	50	6	6	4	56	172	119	218	100	120	0	4189844997	193468967	2188516140	0	0	174	0	0	0
1	41	41	0	1	6	41	40	45	35	55	30	40	3	2	255	1	64	0	0	0	127	15	50	4	4	0	39	39	151	49	80	75	28	2684816384	1107590024	599916546	1	0	41	0	0	0
1	42	42	0	1	6	42	75	80	70	90	65	75	3	2	90	2	128	0	0	0	127	15	50	4	4	0	39	39	151	159	160	550	29	2684832768	1107590024	599916554	1	0	41	0	0	0
1	43	43	0	1	1	43	45	50	55	30	75	65	11	3	255	1	256	0	0	0	127	20	50	7	7	3	34	34	50	64	50	54	0	2150958368	34609672	308413472	0	0	43	0	0	0
1	44	44	0	1	1	44	60	65	70	40	85	75	11	3	120	2	512	0	0	0	127	20	50	7	7	3	34	34	1	138	80	86	0	2150958368	177216008	308413472	0	0	43	0	0	0
1	45	45	0	1	0	45	75	80	85	50	110	90	11	3	45	3	768	0	0	0	127	20	50	7	7	3	34	34	27	245	120	186	0	2151499040	177216008	308413480	0	0	43	0	0	0
1	46	46	0	1	0	46	35	70	55	25	45	55	6	11	190	1	4	86	87	0	127	20	50	3	7	0	27	87	6	57	30	54	0	3357902080	35666568	308479008	2	0	46	0	0	0
1	47	47	0	1	0	47	60	95	80	30	60	80	6	11	75	2	24	86	87	0	127	20	50	3	7	0	27	87	6	142	100	295	0	3357918464	36715144	308479016	2	0	46	0	0	0
1	48	48	0	1	6	48	60	55	50	45	40	55	6	3	190	1	1024	0	0	0	127	20	50	3	3	0	14	110	50	61	100	300	0	2418344960	33602056	37879840	0	0	48	0	0	0
1	49	49	0	1	6	49	70	65	60	90	90	75	6	3	75	2	320	0	295	0	127	20	50	3	3	0	19	110	147	158	150	125	0	2418361344	571783816	54657064	1	0	48	0	0	0
1	50	50	0	1	5	50	10	55	25	95	35	45	4	4	255	1	64	0	237	0	127	20	50	5	5	0	8	71	159	53	20	8	0	2315322880	33569496	306612225	2	0	50	0	0	0
1	51	51	0	1	5	51	35	100	50	120	50	70	4	4	50	2	128	0	237	0	127	20	50	5	5	0	8	71	159	149	70	333	0	2315339264	33569496	306612297	2	0	50	0	0	0
1	52	52	0	1	2	52	40	45	35	90	40	40	0	0	255	1	64	0	217	0	127	20	50	5	5	0	53	101	127	58	40	42	0	2848132612	1107311490	324161571	0	0	52	0	0	0
1	53	53	0	1	2	53	65	70	60	115	65	65	0	0	90	2	128	0	217	0	127	20	50	5	5	0	7	101	127	154	100	320	0	2848149012	1107311490	324161579	0	0	52	0	0	0
1	54	54	0	1	2	54	50	52	48	55	65	50	10	10	190	1	256	0	0	0	127	20	50	2	5	0	6	13	33	64	80	196	43	3628314701	46209664	3259109409	6	0	54	0	0	0
1	55	55	0	1	1	55	80	82	78	85	95	80	10	10	75	2	512	0	0	0	127	20	50	2	5	0	6	13	33	175	170	766	44	3695439949	46733952	3259109417	14	0	54	0	0	0
1	56	56	0	1	5	56	40	80	35	70	35	45	1	1	190	1	4	0	0	0	127	20	50	5	5	0	72	83	128	61	50	280	0	3485666945	42613440	2202959874	10	0	56	0	0	0
1	57	57	0	1	5	57	65	105	60	95	60	70	1	1	75	2	8	0	0	0	127	20	50	5	5	0	72	83	128	159	100	320	0	3485683329	42613440	2202959946	10	0	56	0	0	0
1	58	58	0	1	5	58	55	70	45	60	70	50	9	9	190	1	4	0	0	0	63	20	50	5	5	5	22	18	154	70	70	190	0	2286486544	302135972	2185371648	2	0	58	0	0	0
1	59	59	0	1	5	59	90	110	80	95	100	80	9	9	75	2	8	0	0	0	63	20	50	5	5	5	22	18	154	194	190	1550	0	2288600080	369244836	2185633800	10	0	58	0	0	0
1	60	60	0	1	1	60	40	50	40	90	40	40	10	10	255	1	64	0	0	0	127	20	50	2	2	3	11	6	33	60	60	124	0	2550345796	33634816	1111883776	4	0	60	0	0	0
1	61	61	0	1	1	61	65	65	65	90	50	50	10	10	120	2	128	0	221	0	127	20	50	2	2	3	11	6	33	135	100	200	0	3657642053	42023424	3259367424	6	0	60	0	0	0
1	62	62	0	1	1	62	90	95	95	70	70	90	10	1	45	3	48	0	221	0	127	20	50	2	2	3	11	6	33	255	130	540	0	3724767941	176765504	3259924490	14	0	60	0	0	0
1	63	63	0	1	5	63	25	20	15	90	105	55	13	13	200	1	256	0	248	0	63	20	50	8	8	3	28	39	98	62	90	195	20	2958789641	194034435	175247652	0	0	63	0	0	0
1	64	64	0	1	5	64	40	35	30	105	120	70	13	13	100	2	512	0	248	0	63	20	50	8	8	3	28	39	98	140	130	565	21	2958789641	194034435	175247652	0	0	63	0	0	0
1	65	65	0	1	5	65	55	50	45	120	135	95	13	13	50	3	768	0	248	0	63	20	50	8	8	3	28	39	98	250	150	480	22	2958806025	1268300547	175247660	0	0	63	0	0	0
1	66	66	0	1	7	66	70	80	50	35	35	35	1	1	180	1	4	0	230	0	63	20	50	8	8	3	62	99	80	61	80	195	40	3456337537	42482276	2186182658	10	0	66	0	0	0
1	67	67	0	1	7	67	80	100	70	45	50	60	1	1	90	2	8	0	230	0	63	20	50	8	8	3	62	99	80	142	150	705	41	3456337537	42482276	2186182658	10	0	66	0	0	0
1	68	68	0	1	7	68	90	130	80	55	65	85	1	1	45	3	12	0	230	0	63	20	50	8	8	3	62	99	80	253	160	1300	42	3456353921	42482276	2186182730	10	0	66	0	0	0
1	69	69	0	1	3	69	50	75	35	40	70	30	11	3	255	1	4	0	0	0	127	20	50	7	7	3	34	34	82	60	70	40	0	2149909760	34617865	308937760	0	0	69	0	0	0
1	70	70	0	1	3	70	65	90	50	55	85	45	11	3	120	2	8	0	0	0	127	20	50	7	7	3	34	34	82	137	100	64	0	2149909760	34617865	308937760	0	0	69	0	0	0
1	71	71	0	1	3	71	80	105	65	70	100	70	11	3	45	3	12	0	0	0	127	20	50	7	7	3	34	34	82	245	170	155	0	2149926144	34617865	308937768	0	0	69	0	0	0
1	72	72	0	1	1	72	40	40	35	70	50	100	10	3	190	1	1024	0	245	0	127	20	50	9	9	5	29	64	44	67	90	455	136	2149527620	37829128	1380582402	4	0	72	0	0	0
1	73	73	0	1	1	73	80	70	65	100	80	120	10	3	60	2	2048	0	245	0	127	20	50	9	9	5	29	64	44	180	160	550	137	2149544004	37829128	1380582410	4	0	72	0	0	0
1	74	74	0	1	5	74	40	80	100	20	30	30	5	4	255	1	16	0	229	0	127	15	50	10	10	3	69	5	8	60	40	200	31	3389064193	2189433460	2185661008	10	0	74	0	0	0
1	75	75	0	1	5	75	55	95	115	35	45	45	5	4	120	2	32	0	229	0	127	15	50	10	10	3	69	5	8	137	100	1050	32	3389064193	2189433460	2185661008	10	0	74	0	0	0
1	76	76	0	1	5	76	80	120	130	45	55	65	5	4	45	3	48	0	229	0	127	15	50	10	10	3	69	5	8	248	140	3000	33	3389080593	2189957748	2185661016	10	0	74	0	0	0
1	77	77	0	1	2	77	50	85	55	90	65	65	9	9	190	1	64	0	0	0	127	20	50	5	5	0	50	18	49	82	100	300	90	2153841664	302127652	2185363456	0	0	77	0	0	0
1	78	78	0	1	2	78	65	100	70	105	80	80	9	9	60	2	128	0	0	0	127	20	50	5	5	0	50	18	49	175	170	950	91	2153858048	302127652	2185888776	0	0	77	0	0	0
1	79	79	0	1	9	79	90	65	65	15	40	40	10	13	190	1	1	0	279	0	127	20	50	1	2	0	12	20	144	63	120	360	0	3125523532	37853732	3396735268	0	0	79	0	0	0
1	80	80	0	1	9	80	95	75	110	30	100	80	10	13	75	2	32	0	221	0	127	20	50	1	2	0	12	20	144	172	160	785	0	4199281741	1254726308	3396735404	2	0	79	0	0	0
1	81	81	0	1	7	81	25	35	70	45	95	55	12	8	190	1	256	0	233	0	255	20	50	10	10	0	42	5	148	65	30	60	0	2172879872	2197818883	104993572	0	0	81	0	0	0
1	82	82	0	1	7	82	50	60	95	70	120	70	12	8	60	2	512	0	233	0	255	20	50	10	10	0	42	5	148	163	100	600	0	2172896256	2197818883	104993580	0	0	81	0	0	0
1	83	83	0	1	5	83	52	90	55	60	58	62	0	2	45	2	4	0	259	0	127	20	50	4	5	0	51	39	128	132	80	150	0	2151745024	35945088	868881408	1	0	83	0	0	0
1	84	84	0	1	5	84	35	85	45	75	35	35	0	2	190	1	4	0	244	0	127	20	50	4	4	0	50	48	77	62	140	392	0	2147550720	33847936	583140352	0	0	84	0	0	0
1	85	85	0	1	5	85	60	110	70	110	60	60	0	2	45	2	8	0	244	0	127	20	50	4	4	0	50	48	77	165	180	852	0	2147569152	33848192	583140362	0	0	84	0	0	0
1	86	86	0	1	8	86	65	45	55	45	45	70	10	10	190	1	1024	0	0	0	127	20	50	2	5	0	47	93	115	65	110	900	0	2152411204	46152192	1111621632	4	0	86	0	0	0
1	87	87	0	1	8	87	90	70	80	70	70	95	10	14	75	2	2048	0	0	0	127	20	50	2	5	0	47	93	115	166	170	1200	0	2152427588	46152192	1111621768	4	0	86	0	0	0
1	88	88	0	1	6	88	80	80	50	25	40	50	3	3	190	1	1	0	281	0	127	20	50	11	11	0	1	60	143	65	90	300	0	2844199936	2189441902	2185920514	0	0	88	0	0	0
1	89	89	0	1	6	89	105	105	75	50	65	100	3	3	75	2	5	281	0	0	127	20	50	11	11	0	1	60	143	175	120	300	0	3917958145	2189966190	2185936906	2	0	88	0	0	0
1	90	90	0	1	6	90	30	65	100	40	45	25	10	10	190	1	16	88	89	0	127	20	50	9	9	5	75	92	142	61	30	40	0	2147692612	2185239040	1111621762	0	0	90	0	0	0
1	91	91	0	1	6	91	50	95	180	70	85	45	10	14	60	2	32	88	89	0	127	20	50	9	9	5	75	92	142	184	150	1325	0	2147741764	2185239296	1112146058	0	0	90	0	0	0
1	92	92	0	1	6	92	30	35	30	80	100	35	7	3	190	1	256	0	0	0	127	20	50	11	11	3	26	26	26	62	130	1	69	2962689056	2450569992	173690882	0	0	92	0	0	0
1	93	93	0	1	6	93	45	50	45	95	115	55	7	3	90	2	512	0	0	0	127	20	50	11	11	3	26	26	26	142	160	1	70	2962689056	2458958600	173690883	0	0	92	0	0	0
1	94	94	0	1	6	94	60	65	60	110	130	75	7	3	45	3	768	0	0	0	127	20	50	11	11	3	130	130	130	250	150	405	71	4053224481	3667442440	2321174539	2	0	92	0	0	0
1	95	95	0	1	7	95	35	45	160	70	30	45	5	4	45	1	16	0	0	0	127	25	50	10	10	0	69	5	133	77	880	2100	34	2319518736	2248153936	2252773970	10	0	95	0	0	0
1	96	96	0	1	2	96	60	48	45	42	43	90	13	13	190	1	1024	0	0	0	127	20	50	8	8	0	15	108	39	66	100	324	0	4095446025	1249950465	175247652	0	0	96	0	0	0
1	97	97	0	1	2	97	85	73	70	67	73	115	13	13	75	2	2048	0	0	0	127	20	50	8	8	0	15	108	39	169	160	756	0	4095462409	1250474753	175247660	0	0	96	0	0	0
1	98	98	0	1	0	98	30	105	90	50	25	25	10	10	225	1	4	0	0	0	127	20	50	9	9	0	52	75	125	65	40	65	0	3355652164	48314944	3527640064	2	0	98	0	0	0
1	99	99	0	1	0	99	55	130	115	75	50	50	10	10	60	2	8	0	0	0	127	20	50	9	9	0	52	75	125	166	130	600	0	3355668548	48314944	3527640072	2	0	98	0	0	0
1	100	100	0	1	0	100	40	30	50	100	55	55	12	12	190	1	64	0	0	0	255	20	50	10	10	0	43	9	106	66	50	104	0	2172880896	2197827330	37880608	0	0	100	0	0	0
1	101	101	0	1	0	101	60	50	70	150	80	80	12	12	60	2	128	0	0	0	255	20	50	10	10	0	43	9	106	172	120	666	0	2172897280	2197827330	37880616	0	0	100	0	0	0
1	102	102	0	1	9	102	60	40	80	40	60	45	11	13	90	1	16	0	0	0	127	20	50	7	7	5	34	34	139	65	40	25	0	2418377984	2182134281	2322732064	0	0	102	0	0	0
1	103	103	0	1	2	103	95	95	85	55	125	75	11	13	45	2	512	0	0	0	127	20	50	7	7	5	34	34	139	186	200	1200	0	2418394376	2182134281	2322994216	0	0	102	0	0	0
1	104	104	0	1	5	104	50	50	95	35	40	50	4	4	190	1	16	0	258	0	127	20	50	1	1	0	69	31	4	64	40	65	0	3393270785	44055284	2185661440	10	0	104	0	0	0
1	105	105	0	1	5	105	60	80	110	45	50	80	4	4	75	2	32	0	258	0	127	20	50	1	1	0	69	31	4	149	100	450	0	3393287169	44579572	2185661512	10	0	104	0	0	0
1	106	106	0	1	5	106	50	120	53	87	35	110	1	1	45	2	8	0	0	0	0	25	50	8	8	0	7	120	84	159	150	498	0	3322087041	42482240	2186182720	10	0	236	0	0	0
1	107	107	0	1	5	107	50	105	79	76	35	110	1	1	45	2	2048	0	0	0	0	25	50	8	8	0	51	89	39	159	140	502	0	3322087041	176699968	2185658432	10	0	236	0	0	0
1	108	108	0	1	9	108	90	55	75	30	60	75	0	0	45	1	2	0	279	0	127	20	50	1	1	0	20	12	13	77	120	655	0	3957552645	41958006	3528889352	10	0	108	0	0	0
1	109	109	0	1	6	109	40	65	95	35	60	45	3	3	190	1	16	0	228	0	127	20	50	11	11	0	26	256	1	68	60	10	0	2709720096	2449488686	37896738	0	0	109	0	0	0
1	110	110	0	1	6	110	65	90	120	60	85	70	3	3	60	2	32	0	228	0	127	20	50	11	11	0	26	256	1	172	120	95	0	2709736480	2449488686	37896746	0	0	109	0	0	0
1	111	111	0	1	7	111	80	85	95	25	30	30	4	5	120	1	16	0	0	0	127	20	50	1	5	5	31	69	120	69	100	1150	0	2344825872	100678262	2186185810	10	0	111	0	0	0
1	112	112	0	1	7	112	105	130	120	40	45	45	4	5	60	2	8	0	0	0	127	20	50	1	5	5	31	69	120	170	190	1200	0	3418584081	109591158	3528363227	10	0	111	0	0	0
1	113	113	0	1	9	113	250	5	5	50	35	105	0	0	30	2	2	0	0	0	254	40	140	6	6	4	30	32	131	395	110	346	97	4093376077	192977526	2188810540	10	0	113	0	0	0
1	114	114	0	1	1	114	65	55	115	60	100	40	11	11	45	1	16	0	0	0	127	20	50	7	7	0	34	102	144	87	100	350	0	2149926144	34617867	308417576	2	0	114	0	0	0
1	115	115	0	1	5	115	105	95	80	90	40	80	0	0	45	2	2	0	0	0	254	20	50	1	1	0	48	113	39	172	220	800	0	3958077013	176700150	3527835785	10	0	115	0	0	0
1	116	116	0	1	1	116	30	40	70	60	70	25	10	10	225	1	256	0	235	0	127	20	50	2	14	0	33	97	6	59	40	80	0	2147692612	104929792	1178730496	4	0	116	0	0	0
1	117	117	0	1	1	117	55	65	95	85	95	45	10	10	75	2	272	0	235	0	127	20	50	2	14	0	38	97	6	154	120	250	0	2147708996	104929792	1178730504	4	0	116	0	0	0
1	118	118	0	1	0	118	45	67	60	63	35	50	10	10	225	1	4	0	243	0	127	20	50	12	12	0	33	41	31	64	60	150	78	2147692612	33626624	1112146944	4	0	118	0	0	0
1	119	119	0	1	0	119	80	92	65	68	65	80	10	10	60	2	8	0	243	0	127	20	50	12	12	0	33	41	31	158	130	390	79	2147708996	33626624	1112146952	4	0	118	0	0	0
1	120	120	0	1	5	120	30	45	55	85	70	55	10	10	225	1	64	90	91	0	255	20	50	9	9	5	35	30	148	68	80	345	0	2442375236	37816833	1178735396	4	0	120	0	0	0
1	121	121	0	1	6	121	60	75	85	115	100	85	10	13	60	2	128	90	91	0	255	20	50	9	9	5	35	30	148	182	110	800	0	2442391620	37849601	1316098988	4	0	120	0	0	0
1	122	122	0	1	9	122	40	45	65	90	100	120	13	17	45	2	2048	0	0	0	127	25	50	8	8	0	43	111	101	161	130	545	95	4055616521	1268300675	175247662	0	0	122	0	0	0
1	123	123	0	1	3	123	70	110	80	105	55	80	6	2	45	1	4	0	0	0	127	25	50	3	3	0	68	101	80	100	150	560	0	3221996544	572816000	323159048	3	0	123	0	0	0
1	124	124	0	1	0	124	65	50	35	95	115	95	14	13	45	2	512	0	0	0	254	25	50	8	8	0	12	108	87	159	140	406	0	4026792013	1251523329	175247534	0	0	238	0	0	0
1	125	125	0	1	2	125	65	83	57	105	95	85	12	12	45	2	128	0	322	0	63	25	50	8	8	0	9	9	72	172	110	300	0	3586375681	59260418	2185363752	10	0	239	0	0	0
1	126	126	0	1	0	126	65	95	57	93	100	85	9	9	45	2	512	0	323	0	63	25	50	8	8	0	49	49	72	173	130	445	0	3561047041	311048740	2185363464	10	0	240	0	0	0
1	127	127	0	1	5	127	65	125	100	85	55	70	6	6	45	2	8	0	0	0	127	25	50	3	3	5	52	104	153	175	150	550	0	3389211777	44579392	2454162504	10	0	127	0	0	0
1	128	128	0	1	5	128	75	100	95	110	40	70	0	0	45	2	68	0	0	0	0	20	50	5	5	5	22	83	125	172	140	884	0	2212722180	33561206	3259400266	10	0	128	0	0	0
1	129	129	0	1	0	129	20	10	55	80	15	20	10	10	255	1	64	0	0	0	127	5	50	12	14	5	33	33	155	40	90	100	23	0	0	0	0	0	129	0	0	0
1	130	130	0	1	1	130	95	125	79	81	60	100	10	2	45	2	8	0	0	0	127	5	50	12	14	5	22	22	153	189	650	2350	24	2210625620	104930100	3259384266	6	0	129	0	0	0
1	131	131	0	1	1	131	130	85	80	60	85	95	10	14	45	2	2	243	243	0	127	40	50	1	2	5	11	75	93	187	250	2200	0	2446028884	104864258	3260416136	6	0	131	0	0	0
1	132	132	0	1	6	132	48	48	48	48	48	48	0	0	35	2	1	274	257	0	255	20	50	13	13	0	7	7	150	101	30	40	0	0	0	0	0	0	132	0	0	0
1	133	133	0	1	5	133	55	55	50	55	45	65	0	0	45	1	1024	0	0	0	31	35	50	5	5	0	50	91	107	65	30	65	0	2822964736	33561088	37879808	0	0	133	0	0	0
1	134	134	0	1	1	134	130	65	60	65	110	95	10	10	45	2	2	0	0	0	31	35	50	5	5	0	11	11	93	184	100	290	0	2822993492	37820928	3259105288	6	0	133	0	0	0
1	135	135	0	1	2	135	65	65	60	130	110	95	12	12	45	2	128	0	0	0	31	35	50	5	5	0	10	10	95	184	80	245	0	2848179728	50339330	2185363752	2	0	133	0	0	0
1	136	136	0	1	0	136	65	130	60	65	95	110	9	9	45	2	8	0	0	0	31	35	50	5	5	0	18	18	62	184	90	250	0	2822981136	302127652	2185363464	2	0	133	0	0	0
1	137	137	0	1	9	137	65	60	70	40	85	75	0	0	45	1	256	0	0	0	255	20	50	10	10	0	36	88	148	79	80	365	0	2984473600	50342530	173150508	0	0	137	0	0	0
1	138	138	0	1	1	138	35	40	100	35	90	55	5	10	45	1	16	0	0	0	31	30	50	2	9	0	33	75	133	71	40	75	0	2147692612	37829200	1111656976	6	0	138	0	0	0
1	139	139	0	1	1	139	70	60	125	55	115	70	5	10	45	2	32	0	0	0	31	30	50	2	9	0	33	75	133	173	100	350	0	2147708996	37829200	1111657048	14	0	138	0	0	0
1	140	140	0	1	5	140	30	80	90	55	55	45	5	10	45	1	16	0	0	0	31	30	50	2	9	0	33	4	133	71	50	115	0	2282172484	37829328	1111656528	6	0	140	0	0	0
1	141	141	0	1	5	141	60	115	105	80	65	70	5	10	45	2	8	0	0	0	31	30	50	2	9	0	33	4	133	173	130	405	0	3355930692	37829328	1380158552	14	0	140	0	0	0
1	142	142	0	1	6	142	80	105	65	130	60	75	5	2	45	2	128	0	0	0	31	35	50	4	4	5	69	46	127	180	180	590	0	2185448466	100957172	2722531418	3	0	142	0	0	0
1	143	143	0	1	4	143	160	110	65	30	65	110	0	0	25	2	2	234	234	0	31	40	50	1	1	5	17	47	82	189	210	4600	113	4087576069	42474102	3259400204	10	0	143	0	0	0
