wazaNo	isValid	type	category	damageType	power	hitPer	basePP	priority	hitCountMax	hitCountMin	sickID	sickPer	sickCont	sickTurnMin	sickTurnMax	criticalRank	shrinkPer	aiSeqNo	damageRecoverRatio	hpRecoverRatio	target	rankEffType1	rankEffType2	rankEffType3	rankEffValue1	rankEffValue2	rankEffValue3	rankEffPer1	rankEffPer2	rankEffPer3	flags	contestWazaNo
26	0	1	0	1	100	95	10	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	131657	0
27	0	1	0	1	60	85	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
28	1	4	2	0	0	100	15	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	-1	0	0	0	0	0	131160	3
29	1	0	0	1	70	100	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
30	1	0	0	1	65	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
31	1	0	0	1	15	85	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131145	25
32	1	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	131145	2
33	1	0	0	1	40	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	30
34	1	0	4	1	85	100	15	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	147529	43
35	1	0	4	1	15	90	20	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	131145	21
36	1	0	0	1	90	85	20	0	0	0	0	0	0	0	0	0	0	48	-25	0	0	0	0	0	0	0	0	0	0	0	131145	42
37	1	0	0	1	120	100	10	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	131145	27
38	1	0	0	1	120	100	15	0	0	0	0	0	0	0	0	0	0	198	-33	0	0	0	0	0	0	0	0	0	0	0	131145	43
39	1	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	0	19	0	0	5	2	0	0	-1	0	0	0	0	0	131160	4
40	1	3	4	1	15	100	35	0	0	0	5	30	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	131144	31
41	0	6	4	1	25	100	20	0	2	2	5	20	1	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
42	1	6	0	1	25	95	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131144	28
43	1	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	0	19	0	0	5	2	0	0	-1	0	0	100	0	0	131160	4
44	1	16	0	1	60	100	25	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
45	1	0	2	0	0	100	40	0	0	0	0	0	0	0	0	0	0	18	0	0	5	1	0	0	-1	0	0	0	0	0	139608	4
46	1	0	12	0	0	101	20	-6	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	172368	1
47	1	0	1	0	0	55	15	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	139608	18
48	1	0	1	0	0	55	20	0	0	0	6	0	2	2	5	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	139608	12
49	0	0	0	2	1	90	20	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
50	1	0	13	0	0	100	20	0	0	0	13	0	2	4	4	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	139352	14
51	1	3	6	2	40	100	30	0	0	0	0	0	0	0	0	0	0	72	0	0	5	4	0	0	-1	0	0	10	0	0	131144	34
52	1	9	4	2	40	100	25	0	0	0	4	10	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	131144	34
53	1	9	4	2	90	100	15	0	0	0	4	10	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	131144	41
54	1	14	11	0	0	101	30	0	0	0	0	0	0	0	0	0	0	46	0	0	12	0	0	0	0	0	0	0	0	0	131104	16
55	1	10	0	2	40	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131144	33
56	1	10	0	2	110	80	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131144	45
57	1	10	0	2	90	100	15	0	0	0	0	0	0	0	0	0	0	257	0	0	4	0	0	0	0	0	0	0	0	0	147528	41
58	1	14	4	2	90	100	10	0	0	0	3	10	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	131144	41
59	1	14	4	2	110	70	5	0	0	0	3	10	1	0	0	0	0	260	0	0	5	0	0	0	0	0	0	0	0	0	131144	46
60	1	13	4	2	65	100	20	0	0	0	6	10	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	131144	40
61	1	10	6	2	65	100	20	0	0	0	0	0	0	0	0	0	0	70	0	0	0	5	0	0	-1	0	0	10	0	0	131144	40
62	1	14	6	2	65	100	20	0	0	0	0	0	0	0	0	0	0	68	0	0	0	1	0	0	-1	0	0	10	0	0	131144	40
63	1	0	0	2	150	90	5	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	131148	47
64	1	2	0	1	35	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133193	30
65	1	2	0	1	80	100	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133193	37
66	1	1	0	1	80	80	20	0	0	0	0	0	0	0	0	0	0	48	-25	0	0	0	0	0	0	0	0	0	0	0	131145	37
67	1	1	0	1	1	100	20	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	131145	48
68	1	1	0	1	1	100	20	-5	0	0	0	0	0	0	0	0	0	89	0	0	13	0	0	0	0	0	0	0	0	0	9	48
69	1	1	0	1	1	100	20	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	147529	48
70	1	0	0	1	80	100	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
71	1	11	8	2	20	100	25	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	135240	34
72	1	11	8	2	40	100	15	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	135240	34
73	1	11	1	0	0	90	10	0	0	0	18	0	1	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	131160	14
74	1	0	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	316	0	0	7	1	3	0	1	1	0	0	0	0	131104	9
75	1	11	0	1	55	95	25	0	0	0	0	0	0	0	0	1	0	43	0	0	5	0	0	0	0	0	0	0	0	0	131144	36
76	1	11	0	2	120	100	10	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	131146	29
77	1	3	1	0	0	75	35	0	0	0	5	0	1	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	131160	15
78	1	11	1	0	0	75	30	0	0	0	1	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	131160	18
79	1	11	1	0	0	75	15	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	131160	18
80	1	11	0	2	120	100	10	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	196681	27
81	1	6	2	0	0	95	40	0	0	0	0	0	0	0	0	0	0	60	0	0	5	5	0	0	-2	0	0	0	0	0	131160	5
82	0	15	0	2	1	100	10	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
83	1	9	4	2	35	85	15	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	131144	22
84	1	12	4	2	40	100	30	0	0	0	1	10	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	131144	34
85	1	12	4	2	90	100	15	0	0	0	1	10	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	131144	41
86	1	12	1	0	0	90	20	0	0	0	1	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	131160	20
87	1	12	4	2	110	70	10	0	0	0	1	30	1	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	131144	46
88	1	5	0	1	50	90	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131144	36
89	1	4	0	1	100	100	10	0	0	0	0	0	0	0	0	0	0	147	0	0	4	0	0	0	0	0	0	0	0	0	147528	43
90	1	4	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	147528	2
91	1	4	0	1	80	100	10	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	147531	27
92	1	3	1	0	0	90	10	0	0	0	5	0	1	15	15	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	131160	16
93	1	13	4	2	50	100	25	0	0	0	6	10	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	131144	34
94	1	13	6	2	90	100	10	0	0	0	0	0	0	0	0	0	0	72	0	0	0	4	0	0	-1	0	0	10	0	0	131144	41
95	1	13	1	0	0	60	20	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	131160	18
96	0	13	2	0	0	101	40	0	0	0	0	0	0	0	0	0	0	10	0	0	7	1	0	0	1	0	0	0	0	0	131104	0
97	1	13	2	0	0	101	30	0	0	0	0	0	0	0	0	0	0	52	0	0	7	5	0	0	2	0	0	0	0	0	131104	8
98	1	0	0	1	40	100	30	1	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	131145	32
99	0	0	0	1	20	100	20	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
100	1	13	13	0	0	101	20	-6	0	0	0	0	0	0	0	0	0	153	0	0	7	0	0	0	0	0	0	0	0	0	131072	0
101	1	7	0	2	1	100	15	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	131144	48
102	1	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	40968	48
103	1	0	2	0	0	85	40	0	0	0	0	0	0	0	0	0	0	59	0	0	0	2	0	0	-2	0	0	0	0	0	172376	5
104	1	0	2	0	0	101	15	0	0	0	0	0	0	0	0	0	0	16	0	0	7	7	0	0	1	0	0	0	0	0	131104	7
105	1	0	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	32	0	50	7	0	0	0	0	0	0	0	0	0	135200	16
106	1	0	2	0	0	101	30	0	0	0	0	0	0	0	0	0	0	11	0	0	7	2	0	0	1	0	0	0	0	0	131104	6
107	1	0	2	0	0	101	10	0	0	0	0	0	0	0	0	0	0	108	0	0	7	7	0	0	2	0	0	0	0	0	131104	8
108	1	0	2	0	0	100	20	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	-1	0	0	0	0	0	131160	3
109	1	7	1	0	0	100	10	0	0	0	6	0	2	2	5	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	131160	13
110	1	10	2	0	0	101	40	0	0	0	0	0	0	0	0	0	0	11	0	0	7	2	0	0	1	0	0	0	0	0	131104	6
111	1	0	2	0	0	101	40	0	0	0	0	0	0	0	0	0	0	156	0	0	7	2	0	0	1	0	0	0	0	0	131104	7
112	0	13	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	51	0	0	7	2	0	0	2	0	0	0	0	0	131104	0
113	1	13	11	0	0	101	30	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	0	0	0	131104	17
114	1	14	10	0	0	101	30	0	0	0	0	0	0	0	0	0	0	25	0	0	10	0	0	0	0	0	0	0	0	0	139264	16
115	1	13	11	0	0	101	20	0	0	0	0	0	0	0	0	0	0	65	0	0	12	0	0	0	0	0	0	0	0	0	131104	17
116	1	0	13	0	0	101	30	0	0	0	0	0	0	0	0	0	0	47	0	0	7	0	0	0	0	0	0	0	0	0	131104	6
117	0	0	0	1	1	101	10	1	0	0	0	0	0	0	0	0	0	26	0	0	7	0	0	0	0	0	0	0	0	0	131081	0
118	1	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	83	0	0	7	0	0	0	0	0	0	0	0	0	0	48
119	0	2	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	1	0	0	1	200	100	5	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	131144	44
121	0	0	0	1	100	75	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
122	1	7	4	1	30	100	30	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	131145	31
123	1	3	4	2	30	70	20	0	0	0	5	40	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	131144	34
124	1	3	4	2	65	100	20	0	0	0	5	30	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	131144	40
125	0	4	0	1	65	85	20	0	0	0	0	0	0	0	0	0	10	31	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
126	1	9	4	2	110	85	5	0	0	0	4	10	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	131144	46
127	1	10	0	1	80	100	15	0	0	0	0	0	0	0	0	0	20	31	0	0	0	0	0	0	0	0	0	0	0	0	131145	38
128	0	10	4	1	35	85	15	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
129	1	0	0	2	60	101	20	0	0	0	0	0	0	0	0	0	0	17	0	0	5	0	0	0	0	0	0	0	0	0	131144	39
130	1	0	0	1	130	100	10	0	0	0	0	100	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	131147	29
131	0	0	0	1	20	100	15	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
132	0	0	6	1	10	100	35	0	0	0	0	0	0	0	0	0	0	70	0	0	0	5	0	0	-1	0	0	10	0	0	131145	0
133	1	13	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	54	0	0	7	4	0	0	2	0	0	0	0	0	131104	8
134	1	13	2	0	0	80	15	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	-1	0	0	0	0	0	131160	11
135	1	0	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	32	0	50	7	0	0	0	0	0	0	0	0	0	135200	17
136	1	1	0	1	130	90	10	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	131657	43
137	1	0	1	0	0	100	30	0	0	0	1	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	131160	19
138	1	13	8	2	100	100	15	0	0	0	0	0	0	0	0	0	0	8	50	0	0	0	0	0	0	0	0	0	0	0	135240	46
139	1	3	1	0	0	90	40	0	0	0	5	0	1	0	0	0	0	66	0	0	5	0	0	0	0	0	0	0	0	0	131160	17
140	0	0	0	1	15	85	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
141	1	6	8	1	80	100	10	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	135241	38
142	1	0	1	0	0	75	10	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	131160	20
143	1	2	0	1	140	90	5	0	0	0	0	0	0	0	0	1	30	75	0	0	0	0	0	0	0	0	0	0	0	0	133194	29
144	1	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	32768	11
145	0	10	6	2	40	100	30	0	0	0	0	0	0	0	0	0	0	70	0	0	5	5	0	0	-1	0	0	10	0	0	131144	0
146	0	0	4	1	70	100	10	0	0	0	6	20	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	131273	0
147	1	11	1	0	0	100	15	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	131160	20
148	1	0	2	0	0	100	20	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	-1	0	0	0	0	0	131160	5
149	0	13	0	2	1	100	15	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
150	1	0	13	0	0	101	40	0	0	0	0	0	0	0	0	0	0	85	0	0	7	0	0	0	0	0	0	0	0	0	131584	0
151	1	3	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	51	0	0	7	2	0	0	2	0	0	0	0	0	131104	8
152	1	10	0	1	100	90	10	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	131145	42
153	1	0	0	1	250	100	5	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	131144	44
154	1	0	0	1	18	80	15	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131145	25
155	1	4	0	1	50	90	10	0	2	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	131144	24
156	1	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	37	0	0	7	0	0	0	0	0	0	0	0	0	135200	17
157	1	5	0	1	75	90	10	0	0	0	0	0	0	0	0	0	30	31	0	0	5	0	0	0	0	0	0	0	0	0	131144	38
158	0	0	0	1	80	90	15	0	0	0	0	0	0	0	0	0	10	31	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
159	0	0	2	0	0	101	30	0	0	0	0	0	0	0	0	0	0	10	0	0	7	1	0	0	1	0	0	0	0	0	131104	0
160	1	0	13	0	0	101	30	0	0	0	0	0	0	0	0	0	0	30	0	0	7	0	0	0	0	0	0	0	0	0	131104	11
161	1	0	4	2	80	100	10	0	0	0	65535	20	1	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	131144	41
162	1	0	0	1	1	90	10	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	131145	48
163	1	0	0	1	70	100	20	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
164	1	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	79	0	0	7	0	0	0	0	0	0	0	0	0	147488	17
165	1	0	0	1	50	101	1	0	0	0	0	0	0	0	0	0	0	254	0	-25	9	0	0	0	0	0	0	0	0	0	9	0
166	1	0	13	0	0	101	1	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	40960	48
167	1	1	0	1	10	90	10	0	3	3	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	131145	26
168	1	16	0	1	60	100	25	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	73	38
169	0	6	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	131160	0
170	1	0	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	131144	10
171	0	7	1	0	0	100	15	0	0	0	9	0	1	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	131144	0
172	1	9	4	1	60	100	25	0	0	0	4	10	1	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	132169	37
173	1	0	0	2	50	100	15	0	0	0	0	0	0	0	0	0	30	92	0	0	0	0	0	0	0	0	0	0	0	0	8520	34
174	1	7	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	109	0	0	13	0	0	0	0	0	0	0	0	0	139264	15
175	1	0	0	1	1	100	15	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	131145	48
176	1	0	13	0	0	101	30	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	139264	11
177	1	2	0	2	100	95	5	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	133192	47
178	1	11	2	0	0	100	40	0	0	0	0	0	0	0	0	0	0	60	0	0	5	5	0	0	-2	0	0	0	0	0	131160	8
179	1	1	0	1	1	100	15	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	131145	48
180	1	7	13	0	0	100	10	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	139352	13
181	1	14	4	2	40	100	25	0	0	0	3	10	1	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	131144	34
182	1	0	13	0	0	101	10	4	0	0	0	0	0	0	0	0	0	111	0	0	7	0	0	0	0	0	0	0	0	0	0	18
183	1	1	0	1	40	100	30	1	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	131273	32
184	1	0	2	0	0	100	10	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	0	0	-2	0	0	0	0	0	163928	5
185	0	16	0	1	60	101	20	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
186	1	17	1	0	0	75	10	0	0	0	6	0	2	2	5	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	131160	12
187	1	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	142	0	0	7	0	0	0	0	0	0	0	0	0	131104	11
188	1	3	4	2	90	100	10	0	0	0	5	30	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	131144	41
189	1	4	6	2	20	100	10	0	0	0	0	0	0	0	0	0	0	73	0	0	0	6	0	0	-1	0	0	100	0	0	131144	34
190	1	10	6	2	65	85	10	0	0	0	0	0	0	0	0	0	0	73	0	0	0	6	0	0	-1	0	0	50	0	0	131144	40
191	1	4	11	0	0	101	20	0	0	0	0	0	0	0	0	0	0	112	0	0	11	0	0	0	0	0	0	0	0	0	147472	14
192	1	12	4	2	120	50	5	0	0	0	1	100	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	131144	47
193	0	0	1	0	0	101	40	0	0	0	17	0	1	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	139352	0
194	1	7	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	98	0	0	7	0	0	0	0	0	0	0	0	0	8192	2
195	1	0	1	0	0	101	5	0	0	0	20	0	2	4	4	0	0	114	0	0	8	0	0	0	0	0	0	0	0	0	141568	19
196	1	14	6	2	55	95	15	0	0	0	0	0	0	0	0	0	0	70	0	0	5	5	0	0	-1	0	0	100	0	0	131144	40
197	1	1	13	0	0	101	5	4	0	0	0	0	0	0	0	0	0	111	0	0	7	0	0	0	0	0	0	0	0	0	0	17
198	1	4	0	1	25	90	10	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131144	28
199	1	0	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	131144	10
200	1	15	0	1	120	100	10	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	131145	27
201	1	5	10	0	0	101	10	0	0	0	0	0	0	0	0	0	0	115	0	0	10	0	0	0	0	0	0	0	0	0	131072	23
